movieId,title,genres,overview,director,keywords
663,Kids in the Hall: Brain Candy (1996),Comedy,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",kellymakin,scientist drugs pharmaceuticals
665,Underground (1995),Comedy|Drama|War,"Black marketeers Marko and Blacky manufacture and sell weapons to the Communist resistance in WWII Belgrade, living the good life along the way. Marko's surreal duplicity propels him up the ranks of the Communist Party, and he eventually abandons Blacky and steals his girlfriend. After a lengthy stay in a below-ground shelter, the couple reemerges during the Yugoslavian Civil War of the 1990s as Marko realizes that the situation is ripe for exploitation.",emirkusturica,world war ii lie cellar belgrad resistance fighter anarchic comedy
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,"After thief Alex Cardo gets caught while stealing an ancient katana in East Asia, he soon finds himself imprisoned and beaten up by the crowd there. One of the guards, Demon, feels upset by Alex appearance and tortures him as often as he gets the opportunity. Alex finds a friend and mentor in the jailhouse, Master Sun, who teaches him a superior fighting style called Iron Hand. When a 'best of the best kumite' is to take place, Demon gets an invitation. Now Master Sun and Alex need to find a way to let Alex take part in the kumite too.",alanmehrez,martial arts fistfight sports mixed martial arts kumite tournament chop socky underground fighting action hero
668,Song of the Little Road (Pather Panchali) (1955),Drama,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",satyajitray,robbery move monsoon difficult childhood misery priest remembered death teacher writer railroad unemployment
670,"World of Apu, The (Apur Sansar) (1959)",Drama,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding...,satyajitray,broken engagement arranged marriage dying and death calcutta novelist
671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,"The mad and evil scientist, Dr. Clayton Forrester, has created an evil little scheme that is bound to give him world global domination but first things first. He plans to torment Mike Nelson and the robots by sending them a real stinker of a film to watch called, ""This Island Earth."" He is convinced that this movie will drive them insane. Will this be the ultimate cheese that breaks the boys' spirits?",jimmallon,film and cinema spoof robot scientist
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,"Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon: they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.",joepytka,sports basketball cartoon alien historical fiction doctor cartoon cat basketball team referee cartoon chicken cartoon skunk live action and animation
674,Barbarella (1968),Adventure|Comedy|Sci-Fi,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.",rogervadim,sexual fantasy alien planet distant future cult film female mercenary
678,Some Folks Call It a Sling Blade (1993),Drama|Thriller,"25 years after committing a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and listens in horror about his life leading up to the crime. This is the short film that inspired the full-length ""Sling Blade"".",georgehickenlooper,
679,"Run of the Country, The (1995)",Drama,"An Irish lad (Matt Keeslar) who fled from his oppressive, widowed father (Albert Finney) falls for a girl (Victoria Smurfit) from an affluent family.",peteryates,based on novel or book village rural area ireland policeman strained relationship father son relationship
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller,"An American private-eye arrives in Alphaville, a futuristic city on another planet which is ruled by an evil scientist named Von Braun, who has outlawed love and self-expression.",jean-lucgodard,dystopia photography film noir surrealism lemmy caution private detective french noir distant  planet
685,It's My Party (1996),Drama,"Nick, a gay, HIV-positive architect, begins to display severe symptoms of AIDS and makes preparations to kill himself before he is unable to function normally. He arranges a party to reconnect and say goodbye to his closest friends and his confused parents. But when his ex-partner, Brandon, a television director who left Nick when he was diagnosed with HIV, shows up, what was supposed to be a celebratory event becomes much more difficult for everyone.",randalkleiser,aids terminal illness hiv death lgbt assisted suicide
688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,"Five Green Berets stationed in Vietnam in 1968 grudgingly undertake the mission of a lifetime -- to secretly transport an 8,000-pound elephant through 200 miles of rough jungle terrain. High jinks prevail when Capt. Sam Cahill promises the Montagnard villagers of Dak Nhe that he'll replace their prized elephant in time for an important ritual. But for Capt. T.C. Doyle, the mission becomes a jumbo-sized headache!",simonwincer,elephant vietnam village politics based on true story rescue animal welfare
691,Mrs. Winterbourne (1996),Comedy|Romance,"Connie Doyle is eighteen, pregnant and alone. She accidentally ends up on a train where she meets Hugh Winterbourne and his wife pregnant Patricia. The train wrecks and she wakes up in the hospital to find out that it's been assumed that she's Patricia. Hugh's mother takes her in and she falls in love with Hugh's brother Bill. Just when she thinks everything is going her way, her ex-boyfriend shows up.",richardbenjamin,role reversal mistaken identity train wreck
692,Solo (1996),Action|Sci-Fi|Thriller,"An android fighting-machine (Mario Van Peebles) is charged with destroying a small brigade of rebels in a Latin American war who are fighting to maintain their freedom and protect their village. Contrary to his programming, Peebles decides to stay and assist the rebels in their plight. Having gained this information, his ""creators"" develop a more powerful android to try and defeat him.",norbertobarba,android laser gun village
694,"Substitute, The (1996)",Action|Crime|Drama,"When an inner-city Miami schoolteacher gets her knee broken after standing up to the school's gang leader, her mercenary combat specialist boyfriend goes undercover as a substitute teacher to take down the punk. Soon he discovers a conspiracy of criminals at work, and must reassemble his team from his last jungle raid to stop them.",robertmandel,
695,True Crime (1996),Mystery|Thriller,"Mary Giordano is a bright, intelligent student who goes to a catholic school. She also has a addiction to mystery novels and detective magazines, which inspire her to do her own detective work. When she starts snooping around on the case of a murderer of teenage girls, it gets her in hot water with her mentor Detective Jerry Gunn. But it also starts a team up with police cadet Tony Campbell. The two work together to find the murderer. But the closer Mary gets to solving the murder, the more danger she puts herself in of being the next victim.",patverducci,child murder investigation murder serial killer police corruption female detective murder investigation
697,Feeling Minnesota (1996),Drama|Romance,"Sam Clayton's marriage to ex-stripper Freddie comes about when she's strong-armed into the match by Red, a club proprietor who once did her a favor. But Freddie falls in love with Jjaks, Sam's brother, and the pair tries to escape the situation together. It isn't long before both Sam and Red catch up with them, resulting in threats against the two of them -- although tension also starts to build between Sam and Red.",stevenbaigelman,sibling relationship corruption police stripper love murder wedding
698,Delta of Venus (1995),Drama,"A struggling American writer and a fellow American expatriate begin a sordid affair among the chaos and discord of 1940 Paris, France on the brink of World War II.",zalmanking,"paris, france jealousy infidelity world war ii writer soldier extramarital affair"
700,Angus (1995),Comedy,"Angus is a large, pathetic 14 year old whose thoughts are most often filled with the image of one Melissa Lefevre. Angus is shy and thinks that he has no chance of ever 'getting' her. Being especially uncool, he is incredibly surprised (along with the rest of the school) that he is chosen to dance with her at the Winter Ball. The only one not surprised is the cool-kid who set him up to fail, but Angus' best friend is going to help him win the heart of Melissa by developing a new look for him",patrickreadjohnson,overweight child overweight man jock based on short story public humiliation blow up doll letterman jacket cruel joke
703,Boys (1996),Drama,"Fed up with boarding school and frustrated with the way others have planned his life, John Baker Jr. wants a change -- anything to shake up his staid routine. The moment arrives when he stumbles upon a woman, Patty Vare, unconscious in a field. Deciding to risk it, John takes her to his dorm to look after her, much to the disapproval of his friends. John's decision proves fateful as he and Patty grow close to one another. However, she may be keeping secrets from him.",stacycochran,amnesia boarding school flashback woman director
704,"Quest, The (1996)",Action|Adventure,"Ghang-gheng, the ancient winner-take-all competition in which the deadliest fighters from around the world employ the most spectacular feats of martial arts skills ever displayed in order to win the prized Golden Dragon. But fighting prowess alone will not be enough for Chris to triumph over such daunting foes.",jean-claudevandamme,new york city bare knuckle boxing himalaya martial arts island thailand street artist muay thai kick boxing period drama underground fighting action hero
706,Sunset Park (1996),Drama,"A school teacher takes over a talented, but undisciplined high school basketball team and turns them into a winning team.",stevegomer,sports basketball high school sports
707,Mulholland Falls (1996),Crime|Drama|Thriller,"In 1950s Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.",leetamahori,"prostitute investigation special unit police celebrity murder los angeles, california 1950s"
708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,A successful veterinarian and radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,michaellehmann,veterinarian radio presenter fake identity decoy beguilement blind date love art dog
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,"This animated take on Oliver Twist re-imagines Oliver as an adorable orphaned kitten who struggles to survive in New York City and falls in with a band of canine criminals led by an evil human. First, Oliver meets Dodger, a carefree mutt with street savoir faire. But when Oliver meets wealthy Jenny on one of the gang's thieving missions, his life changes forever.",georgescribner,new york city based on novel or book dog kitten great dane
710,Celtic Pride (1996),Comedy,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.,tomdecerchio,"boston, massachusetts irish-american kidnapping sports basketball"
711,Flipper (1996),Adventure|Children,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime.",alanshapiro,dolphin florida florida keys summer
714,Dead Man (1995),Drama|Mystery|Western,"Wounded and branded an outlaw, a young accountant named William Blake flees gunmen and travels the frontier. Nobody, an outcast Native American, aides Blake along a journey beyond the frailty of life as his physical existence grows thin.",jimjarmusch,sheriff bounty hunter gun attempted murder prosecution dying and death frontier murder black and white 19th century fear of dying wanted dead or alive
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Romance,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",jean-paulrappeneau,based on novel or book italian new love provence horse exile cholera 19th century
718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi,"This outrageous time-travel comedy follows the misadventures of a wacky medieval knight (Jean Reno) and his faithful servant when they are accidentally transported to contemporary times by a senile sorcerer. Mayhem rules as these 12th-century visitors try adapting to the wildly confusing modern world. To avoid being stuck here for good, however, they soon begin an all-out cosmic assault on their former castle -- now a luxury hotel -- in their quest to return to the past.",jean-mariepoiré,servant time travel clumsy fellow middle ages nobility
719,Multiplicity (1996),Comedy,"Construction worker Doug Kinney finds that the pressures of his working life, combined with his duties to his wife Laura and daughter Jennifer leaves him with little time for himself. However, he is approached by geneticist Dr. Owen Leeds, who offers Doug a rather unusual solution to his problems: cloning.",haroldramis,clone mistake in person cloning construction
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,"Anthology of Aardman Animation short films released in theaters in 1996, centered on the new release of the third Wallace & Gromit short, ""A Close Shave.""  Includes: ""A Close Shave,"" ""Creature Comforts"" and ""Heat Electric Commercials"" by Nick Park; ""Rex the Runt: How Dinosaurs Became Extinct"", ""Rex the Runt: Dreams"" and ""Ident"" by Richard Goleszowski; ""Wat's Pig"" and ""My Baby Just Cares For Me"" by Peter Lord; ""Early Bird"" by Peter Lord and David Sproxton; ""Pib and Pog"" directed by Peter Peake",nickpark peterlord davidsproxton richardgoleszowski peterpeake davealexriddett luiscook,anthology stop motion compilation of shorts plasticine
722,"Haunted World of Edward D. Wood Jr., The (1996)",Documentary,"Often called the worst director in the history of cinema, Ed Wood is nevertheless a beloved figure among cult-film aficionados for his oddball productions. This documentary takes a look back at Wood's unique career at the margins of 1950s Hollywood, speaking to those who loved him and hated him. Bela Lugosi Jr. discusses his father's work in the abysmal ""Plan 9 From Outer Space,"" while a Baptist reverend recalls how he was tricked into financing the film.",brettthompson,
724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",andrewfleming,witch suicide attempt puberty magic black magic sorcery female friendship occult hair loss outsider karma newcomer love spell
725,"Great White Hype, The (1996)",Comedy,"When the champ's promoter, Rev. Sultan, decides something new is needed to boost the marketability of the boxing matches, he searches and finds the only man to ever beat the champ. The problem is that he isn't a boxer anymore and he's white. However, once Rev. Sultan convinces him to fight, he goes into heavy training while the confident champ takes it easy and falls out of shape.",reginaldhudlin,boxer sports las vegas boxing promoter promoter heavyweight champion boxing
726,Last Dance (1996),Drama,"Upon taking a new job, young lawyer Rick Hayes is assigned to the clemency case of Cindy Liggett, a woman convicted of first degree murder and sentenced to death. As Hayes investigates the background for her case, the two begin to form a deep friendship, while all the while the date for her execution draws nearer.",bruceberesford,tattoo prison detective murder lawyer rural area death golf club
728,Cold Comfort Farm (1995),Comedy,"In this adaptation of the satirical British novel, Flora Poste, a plucky London society girl orphaned at age 19, finds a new home with some rough relatives, the Starkadders of Cold Comfort Farm. With a take-charge attitude and some encouragement from her mischievous friend, Mary, Flora changes the Starkadders' lives forever when she settles into their rustic estate, bringing the backward clan up to date and finding inspiration for her novel in the process.",johnschlesinger,
731,Heaven's Prisoners (1996),Crime|Thriller,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.",philjoanou,alcohol detective confession based on novel or book louisiana assault stripper revenge murder drugs
733,"Rock, The (1996)",Action|Adventure|Thriller,"FBI chemical warfare expert Stanley Goodspeed is sent on an urgent mission with a former British spy, John Patrick Mason, to stop Gen. Francis X. Hummel from launching chemical weapons on Alcatraz Island into San Francisco. Gen. Hummel demands $100 million in war reparations to be paid to the families of slain servicemen who died on covert operations. After their SEAL team is wiped out, Stanley and John deal with the soldiers on their own.",michaelbay,"san francisco, california war veteran fbi mercenary gas attack alcatraz prison terrorism hostage situation military"
735,Cemetery Man (Dellamorte Dellamore) (1994),Horror,"A cemetery man has the unusual problem of the dead rising from the grave. Himself and his assistant must end these creatures' lives again after they are reborn. Everything is going well until ""She"" comes along and stirs things up a bit.",michelesoavi,insanity undead grim reaper zombie macabre grotesque
736,Twister (1996),Action|Adventure|Romance|Thriller,"An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.",jandebont,husband wife relationship tornado twister oklahoma metereologist invention climate barn natural disaster truck disaster storm chaser divorce disaster movie motley crew
737,Barb Wire (1996),Action|Sci-Fi,"A sexy nightclub owner, Barb Wire moonlights as a mercenary in Steel Harbor, one of the last free zones in the now fascist United States. When scientist Cora Devonshire wanders into Barb's establishment, she gets roped into a top-secret government plot involving biological weapons. Soon Barb is reunited with her old flame Axel Hood, who is now Cora's husband and a guerrilla fighter, resulting in plenty of tense action.",davidhogan,scientist bar electrical torture pretending to be a prostitute pressure washer obese
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,"In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster.",mamoruoshii,artificial intelligence man vs machine cyborg android computer virus dystopia implantat fugitive female protagonist cyberpunk based on manga tech noir anime 2020s
742,Thinner (1996),Horror|Thriller,"A fat lawyer finds himself growing ""Thinner"" when an old gypsy man places a hex on him. Now the lawyer must call upon his friends in organized crime to help him persuade the gypsy to lift the curse. Time is running out for the desperate lawyer as he draws closer to his own death, and grows ever thinner.",tomholland,based on novel or book curse fat suit
743,Spy Hard (1996),Comedy,"The evil Gen. Rancor has his sights set on world domination, and only one man can stop him: Dick Steele, also known as Agent WD-40. Rancor needs to obtain a computer circuit for the missile that he is planning to fire, so Steele teams up with Veronique Ukrinsky, a KGB agent whose father designed the chip. Together they try to locate the evil mastermind's headquarters, where Veronique's father and several other hostages are being held.",rickfriedberg,atomic bomb spoof james bond spoof
745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,"Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep-rustling in a fiendish criminal plot.",nickpark,prison inventor loyalty sheep innocence surrealism stop motion framed dog animal sheep rustling claymation plasticine
747,"Stupids, The (1996)",Comedy,"An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage.",johnlandis,conspiracy theory aftercreditsstinger
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller,"Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue.",davidtwohy,greenhouse effect global warming extraterrestrial astronomer conspiracy scientist alien invasion foot chase desert climatologist observatory alien language golf club volkswagen beetle liquid nitrogen screwdriver cosmic zoom radio telescope satellite dish
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",stanleykubrick,usa president general cold war strategic air command nuclear missile satire dark comedy black and white cult film war room bomber pilot nuclear weapons ex-nazi anti war doomsday device absurdism oscar nominated
757,Ashes of Time (Dung che sai duk) (1994),Drama,"Ouyang Feng is a heartbroken and cynical man who spends his days in the desert, connecting expert swordsmen with those seeking revenge and willing to pay for it. Throughout five seasons in exile, Ouyang spins tales of his clients' unrequited loves and unusual acts of bravery.",wongkar-wai,
759,Maya Lin: A Strong Clear Vision (1994),Documentary,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,freidaleemock,woman director
760,Stalingrad (1993),Drama|War,"""Stalingrad"" follows the progress of a German Platoon through the brutal fighting of the Battle of Stalingrad. After having half their number wiped out and after being placed under the command of a sadistic Captain, the Lieutenant of the platoon leads his men to desert. The men of the platoon attempt to escape from the city which is now surrounded by the Soviet Army.",josephvilsmaier,winter world war ii stalingrad machine gun horrors of war comradeship german  soldiers soviet tank
761,"Phantom, The (1996)",Action|Adventure,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,simonwincer,secret identity gold gangster phantom silver battle for power jade based on comic jungle masked hero crystal skull
762,Striptease (1996),Comedy|Crime,"Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder.",andrewbergman,blackmail strip club striptease police satire u.s. congress mother daughter relationship
764,Heavy (1995),Drama|Romance,"Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",jamesmangold,waitress jealousy fast food restaurant seduction pizza rejection sexual fantasy obesity
765,Jack (1996),Comedy|Drama,"Jack Powell suffers from an affliction that makes him grow four times faster than normal, so the 10-year-old looks like a 40-year-old man. After years of being tutored at home, Jack convinces his overprotective parents to send him to public school. The children don't know what to make of Jack, but with the help of his fifth-grade teacher, he makes an effort to win them over.",francisfordcoppola,age difference body exchange genetics
766,I Shot Andy Warhol (1996),Drama,"Based on the true story of Valerie Solanas who was a 1960s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce, but he continued to ignore her. So she shot him. This is Valerie's story.",maryharron,new york city andy warhol based on true story radical woman director 1960s
773,Touki Bouki (1973),Drama,"A cowherd with a skull-mounted motorcycle and a university student meet in Dakar; put off by life in Senegal, they plan to make money in Paris.",djibrildiopmambéty,emigration ship senegal road trip motorcycle avant-garde cattle young lovers animal slaughter dakar
775,Spirits of the Dead (1968),Horror|Mystery,"Anthology film from three European directors based on stories by Edgar Allan Poe: a cruel countess haunted by a ghostly horse, a sadistic young man haunted by his double, and an alcoholic actor haunted by the Devil.",federicofellini louismalle rogervadim,obsession army ferrari anthology catholic alcoholic desire doppelgänger movie star horror anthology
778,Trainspotting (1996),Comedy|Crime|Drama,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",dannyboyle,"london, england scotland based on novel or book drug addiction anti hero drug dealer nightclub junkie heroin cold turkey edinburgh, scotland modern society hallucination friendship monologue surrealism dark comedy stealing drug rehabilitation drug dealing drugs cult film schoolgirl recovering addict illegal drugs social realism drug culture sex with a minor"
779,'Til There Was You (1997),Drama|Romance,"Two strangers, whose paths are always crossing, finally meet when fate steps in. It took them twenty years to fall in love at first sight.",scottwinant,support group parent child relationship nostalgia addiction growing up loneliness neighbor best friend writer dating break-up childhood friends
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",rolandemmerich,showdown spacecraft patriotism countdown independence invasion ufo extraterrestrial alien creature battle alien invasion world domination area 51 human vs alien good versus evil
781,Stealing Beauty (1996),Drama,"Lucy Harmon, an American teenager is arriving in the lush Tuscan countryside to be sculpted by a family friend who lives in a beautiful villa. Lucy visited there four years earlier and exchanged a kiss with an Italian boy with whom she hopes to become reacquainted.",bernardobertolucci,
782,"Fan, The (1996)",Drama|Thriller,"When the San Francisco Giants pay center-fielder, Bobby Rayburn $40 million to lead their team to the World Series, no one is happier or more supportive than #1 fan, Gil Renard.  When Rayburn becomes mired in the worst slump of his career, the obsessed Renard decides to stop at nothing to help his idol regain his former glory—not even murder.",tonyscott,sports luck san francisco giants child custody baseball pitcher baseball fan psychotic fan sports agent driving range steam room
783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,"At the urging of his gargoyle pals, Quasimodo leaves the solitary safety of his Notre Dame tower against the wishes of his guardian, the evil Judge Claude Frollo. He ventures out to the Festival of Fools and finds his first true friend, a Romani woman named Esmeralda, who entrusts him with a secret. When the secret is revealed, Quasi soon finds himself fighting to save the people and city he loves.",garytrousdale kirkwise,"paris, france based on novel or book judge obsession dance sword mockery ugliness cathedral musical fool bell religion orphan army captain festival angry mob notre dame cathedral witch hunt 15th century"
784,"Cable Guy, The (1996)",Comedy|Thriller,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up—and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the 'friendship', Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behaviour.",benstiller,prison prostitute karaoke obsession dark comedy medieval cable guy frenemies
785,Kingpin (1996),Comedy,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naive hit the circuit intent on settling an old score with Big Ern.",bobbyfarrelly peterfarrelly,"sports stripper handicap sexual favor star spangled banner bowling team hair loss comb over inflatable doll combover unlikely lovers kingpin carriage lancaster, pa"
786,Eraser (1996),Action|Drama|Thriller,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.",chuckrussell,suicide ambush showdown hostage traitor new identity hitman witness witness protection arms dealer deception betrayal treason conspiracy u.s. marshal gunfight train explosion sabotage corporate crime rogue agent assassination attempt x-ray vision railgun
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,"Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.",tomshadyac,overweight overweight man campus family dinner jekyll and hyde duringcreditsstinger chemistry professor 1990s actor playing multiple roles
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama,"In 1925 Romania, young Marie-Therese Von Debretsy refuses the flirtatious advances of her husband's commanding officer. As a result, the cosmopolitan family is reassigned to a brutally bleak and dangerous outpost on the Bulgarian/Romanian frontier where both their relationship and humanity are severely tested.",lucianpintilie,
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,,,
795,Somebody to Love (1994),Drama,"Mercedes is a taxi dancer who wants to be an actress. She's involved with the married Harry, who considers himself a respected actor. Ernesto is in love with Mercedes, but he doesn't dance or have money.",alexandrerockwell,
798,Daylight (1996),Action|Adventure|Drama|Thriller,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses.,robcohen,new york city taxi new jersey helicopter river hero taxi driver race against time guard survival disaster explosion power outage dog trapped urban setting flood tunnel trapped underground action hero
799,"Frighteners, The (1996)",Comedy|Horror|Thriller,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",peterjackson,mother sheriff judge small town fbi architect con man poltergeist funeral widow black humor lovers daughter supernatural hell murder serial killer grim reaper scam reporter doctor car accident investigator widower cult film threat psychotic recluse ghost graveyard multiple murder army sergeant haunted
800,Lone Star (1996),Drama|Mystery|Western,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",johnsayles,sheriff texas family secrets neo-western dark secret
801,Harriet the Spy (1996),Children|Comedy,"When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?",bronwenhughes,spy nanny notebook binoculars woman director
802,Phenomenon (1996),Drama|Romance,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",jonturteltaub,brain tumor telekinesis genius terminal illness doctor psionic power
803,Walking and Talking (1996),Comedy|Drama|Romance,"Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.",nicoleholofcener,woman director
804,She's the One (1996),Comedy|Romance,"Mickey, a free-spirited New York cabbie, and Francis, a materialistic Wall Street stockbroker, are extremely competitive and confused about women as a result of their father's influence. Though they disagree about everything, they have one thing in common: Mickey's ex-fiance Heather is Francis's secret love. Though both brothers have beautiful wives, Heather triggers their longtime sibling rivalry",edwardburns,sibling relationship taxi ex-girlfriend love of one's life bride broker wedding
805,"Time to Kill, A (1996)",Drama|Thriller,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",joelschumacher,ku klux klan rape mississippi river jurors blackmail attempted murder forgiveness court murder lawyer trial courtroom racial tension racial issues courtroom drama legal thriller
806,American Buffalo (1996),Crime|Drama,Three inner-city losers plan a robbery of a valuable coin in a seedy second-hand junk shop.,michaelcorrente,robbery gun loyalty revenge betrayal coin diner vulgarity trust poker game criminal tantrum rainstorm broken glass antique dealer station wagon
